id_siniestro,monto_reclamado,dias_desde_inicio_poliza,dias_entre_ocurrencia_reporte,historial_siniestros_asegurado,documentos_completos,id_proveedor,suma_asegurada,cobertura,ciudad,ramo,beneficiario,descripcion,id_asegurado,placa,frecuencia_placa,marca_vehiculo,modelo_vehiculo,anio_vehiculo,frecuencia_conductor_veh,frecuencia_conductor,doc_inconsistente,frecuencia_beneficiario,similitud_narrativa,score,nivel_riesgo,alertas,anomalia_score,es_anomalia
SIN-00041,9069.92,3,15,6,False,P002,9611.6,Robo,Loja,Hogar,Clinica San Marcos,El vehiculo fue impactado por un tercero que se dio a la fuga sin dejar datos.,ASG-00017,A641M182,1,Kia,Rio,2024,0,0,True,86,0.9999999999999992,69,ROJO,"Siniestro ocurrido en los primeros 10 dias de la poliza (+8 pts) | Reporte tardio: mas de 7 dias despues del evento (+5 pts) | Asegurado con 3 o mas siniestros en 18 meses (+8 pts) | Documentos incompletos o faltantes (+4 pts) | Proveedor en lista restrictiva (+10 pts) | Beneficiario asociado a mas de 2 siniestros en la cartera (+5 pts) | Robo reportado con mas de 48 horas de demora (+8 pts) | Dinamica sospechosa: narrativa con indicadores de riesgo (+5 pts) | Documentacion con inconsistencia detectada (+8 pts) | Narrativa muy similar a otro reclamo (100% similitud, +8 pts)",0.007959130136647508,0
SIN-00044,8010.87,3,11,3,False,P002,8038.97,Robo,Ambato,Vehiculos,Clinica San Marcos,El vehiculo fue impactado por un tercero que se dio a la fuga sin dejar datos.,ASG-00395,N942D714,1,Hyundai,Tucson,2019,0,2,True,86,0.9999999999999992,74,ROJO,"Siniestro ocurrido en los primeros 10 dias de la poliza (+8 pts) | Reporte tardio: mas de 7 dias despues del evento (+5 pts) | Asegurado con 3 o mas siniestros en 18 meses (+8 pts) | Documentos incompletos o faltantes (+4 pts) | Proveedor en lista restrictiva (+10 pts) | Beneficiario asociado a mas de 2 siniestros en la cartera (+5 pts) | Monto reclamado es el 100% de la suma asegurada (+5 pts) | Robo reportado con mas de 48 horas de demora (+8 pts) | Dinamica sospechosa: narrativa con indicadores de riesgo (+5 pts) | Documentacion con inconsistencia detectada (+8 pts) | Narrativa muy similar a otro reclamo (100% similitud, +8 pts)",0.004147607261128283,0
SIN-00051,11716.6,8,15,4,False,P002,12370.39,Robo,Guayaquil,Vida,Clinica San Marcos,Colision frontal con vehiculo desconocido en horas de la madrugada sin testigos.,ASG-00199,C409K906,1,Kia,Sorento,2018,0,0,True,86,0.9999999999999993,69,ROJO,"Siniestro ocurrido en los primeros 10 dias de la poliza (+8 pts) | Reporte tardio: mas de 7 dias despues del evento (+5 pts) | Asegurado con 3 o mas siniestros en 18 meses (+8 pts) | Documentos incompletos o faltantes (+4 pts) | Proveedor en lista restrictiva (+10 pts) | Beneficiario asociado a mas de 2 siniestros en la cartera (+5 pts) | Robo reportado con mas de 48 horas de demora (+8 pts) | Dinamica sospechosa: narrativa con indicadores de riesgo (+5 pts) | Documentacion con inconsistencia detectada (+8 pts) | Narrativa muy similar a otro reclamo (100% similitud, +8 pts)",0.012130590127018559,0
SIN-00053,25105.6,29,7,3,False,P008,35949.65,Robo,Loja,Vida,Taller Premium,El asegurado reporta que su vehiculo fue robado en un estacionamiento sin camaras.,ASG-00147,D173Q526,1,Hyundai,Accent,2022,0,0,False,2,1.0,35,AMARILLO,"Siniestro ocurrido en los primeros 30 dias de la poliza (+4 pts) | Reporte con demora de 4 a 7 dias (+3 pts) | Asegurado con 3 o mas siniestros en 18 meses (+8 pts) | Documentos incompletos o faltantes (+4 pts) | Robo reportado con mas de 48 horas de demora (+8 pts) | Narrativa muy similar a otro reclamo (100% similitud, +8 pts)",0.04962764297885175,0
SIN-00059,22684.73,15,6,3,False,P001,36780.2,Choque,Quito,Vehiculos,Taller El Veloz,Robo de autopartes reportado inmediatamente a la policia. Denuncia adjunta.,ASG-00376,H598H511,1,Mazda,CX-5,2023,0,2,False,80,1.0,42,ROJO,"Siniestro ocurrido en los primeros 30 dias de la poliza (+4 pts) | Reporte con demora de 4 a 7 dias (+3 pts) | Asegurado con 3 o mas siniestros en 18 meses (+8 pts) | Documentos incompletos o faltantes (+4 pts) | Proveedor en lista restrictiva (+10 pts) | Beneficiario asociado a mas de 2 siniestros en la cartera (+5 pts) | Narrativa muy similar a otro reclamo (100% similitud, +8 pts)",0.07026288284897603,0
SIN-00063,41810.14,3,15,6,False,P001,45372.89,Robo,Manta,Salud,Taller El Veloz,El asegurado reporta que su vehiculo fue robado en un estacionamiento sin camaras.,ASG-00144,E692D183,1,Kia,Sorento,2014,0,0,False,80,1.0,56,ROJO,"Siniestro ocurrido en los primeros 10 dias de la poliza (+8 pts) | Reporte tardio: mas de 7 dias despues del evento (+5 pts) | Asegurado con 3 o mas siniestros en 18 meses (+8 pts) | Documentos incompletos o faltantes (+4 pts) | Proveedor en lista restrictiva (+10 pts) | Beneficiario asociado a mas de 2 siniestros en la cartera (+5 pts) | Robo reportado con mas de 48 horas de demora (+8 pts) | Narrativa muy similar a otro reclamo (100% similitud, +8 pts)",-0.0235568983872807,1
SIN-00065,37299.45,6,12,4,False,P001,40132.91,Robo,Guayaquil,Hogar,Taller El Veloz,Colision frontal con vehiculo desconocido en horas de la madrugada sin testigos.,ASG-00355,D557N767,1,Toyota,Corolla,2019,0,0,True,80,0.9999999999999993,69,ROJO,"Siniestro ocurrido en los primeros 10 dias de la poliza (+8 pts) | Reporte tardio: mas de 7 dias despues del evento (+5 pts) | Asegurado con 3 o mas siniestros en 18 meses (+8 pts) | Documentos incompletos o faltantes (+4 pts) | Proveedor en lista restrictiva (+10 pts) | Beneficiario asociado a mas de 2 siniestros en la cartera (+5 pts) | Robo reportado con mas de 48 horas de demora (+8 pts) | Dinamica sospechosa: narrativa con indicadores de riesgo (+5 pts) | Documentacion con inconsistencia detectada (+8 pts) | Narrativa muy similar a otro reclamo (100% similitud, +8 pts)",0.07013564772193986,0
SIN-00071,9539.0,29,3,3,False,P001,12839.12,Dano parcial,Quito,Vida,Taller El Veloz,Colision frontal con vehiculo desconocido en horas de la madrugada sin testigos.,ASG-00224,D517G948,1,Chevrolet,Spark,2014,0,0,False,80,0.9999999999999993,44,ROJO,"Siniestro ocurrido en los primeros 30 dias de la poliza (+4 pts) | Asegurado con 3 o mas siniestros en 18 meses (+8 pts) | Documentos incompletos o faltantes (+4 pts) | Proveedor en lista restrictiva (+10 pts) | Beneficiario asociado a mas de 2 siniestros en la cartera (+5 pts) | Dinamica sospechosa: narrativa con indicadores de riesgo (+5 pts) | Narrativa muy similar a otro reclamo (100% similitud, +8 pts)",0.015148772253751885,0
SIN-00077,18137.8,30,3,3,False,P001,30125.77,Responsabilidad Civil,Manta,Salud,Taller El Veloz,Colision frontal con vehiculo desconocido en horas de la madrugada sin testigos.,ASG-00250,F217N327,1,Nissan,Kicks,2018,0,0,False,80,0.9999999999999993,50,ROJO,"Siniestro ocurrido en los primeros 30 dias de la poliza (+4 pts) | Asegurado con 3 o mas siniestros en 18 meses (+8 pts) | Documentos incompletos o faltantes (+4 pts) | Proveedor en lista restrictiva (+10 pts) | Beneficiario asociado a mas de 2 siniestros en la cartera (+5 pts) | Dinamica sospechosa: cobertura Responsabilidad Civil sola (+6 pts) | Dinamica sospechosa: narrativa con indicadores de riesgo (+5 pts) | Narrativa muy similar a otro reclamo (100% similitud, +8 pts)",0.017671405627903924,0
SIN-00082,11799.33,13,3,3,False,P007,19093.36,Responsabilidad Civil,Cuenca,Vehiculos,Grua Rapida,El vehiculo fue impactado por un tercero que se dio a la fuga sin dejar datos.,ASG-00303,D256R971,1,Nissan,Frontier,2023,0,1,False,92,0.9999999999999992,50,ROJO,"Siniestro ocurrido en los primeros 30 dias de la poliza (+4 pts) | Asegurado con 3 o mas siniestros en 18 meses (+8 pts) | Documentos incompletos o faltantes (+4 pts) | Proveedor en lista restrictiva (+10 pts) | Beneficiario asociado a mas de 2 siniestros en la cartera (+5 pts) | Dinamica sospechosa: cobertura Responsabilidad Civil sola (+6 pts) | Dinamica sospechosa: narrativa con indicadores de riesgo (+5 pts) | Narrativa muy similar a otro reclamo (100% similitud, +8 pts)",0.043931562220395126,0
SIN-00085,31599.65,10,13,3,False,P001,34010.8,Robo,Loja,Vida,Taller El Veloz,Colision frontal con vehiculo desconocido en horas de la madrugada sin testigos.,ASG-00178,J952R988,1,Nissan,Sentra,2014,0,0,True,80,0.9999999999999993,69,ROJO,"Siniestro ocurrido en los primeros 10 dias de la poliza (+8 pts) | Reporte tardio: mas de 7 dias despues del evento (+5 pts) | Asegurado con 3 o mas siniestros en 18 meses (+8 pts) | Documentos incompletos o faltantes (+4 pts) | Proveedor en lista restrictiva (+10 pts) | Beneficiario asociado a mas de 2 siniestros en la cartera (+5 pts) | Robo reportado con mas de 48 horas de demora (+8 pts) | Dinamica sospechosa: narrativa con indicadores de riesgo (+5 pts) | Documentacion con inconsistencia detectada (+8 pts) | Narrativa muy similar a otro reclamo (100% similitud, +8 pts)",0.05996478136911121,0
SIN-00097,6264.81,10,15,6,False,P001,6940.2,Robo,Quito,Salud,Taller El Veloz,El vehiculo fue impactado por un tercero que se dio a la fuga sin dejar datos.,ASG-00091,F761F852,1,Chevrolet,Captiva,2013,0,0,True,80,0.9999999999999992,69,ROJO,"Siniestro ocurrido en los primeros 10 dias de la poliza (+8 pts) | Reporte tardio: mas de 7 dias despues del evento (+5 pts) | Asegurado con 3 o mas siniestros en 18 meses (+8 pts) | Documentos incompletos o faltantes (+4 pts) | Proveedor en lista restrictiva (+10 pts) | Beneficiario asociado a mas de 2 siniestros en la cartera (+5 pts) | Robo reportado con mas de 48 horas de demora (+8 pts) | Dinamica sospechosa: narrativa con indicadores de riesgo (+5 pts) | Documentacion con inconsistencia detectada (+8 pts) | Narrativa muy similar a otro reclamo (100% similitud, +8 pts)",-0.03800530806561886,1
SIN-00100,21609.55,24,3,3,False,P005,33139.54,Robo,Guayaquil,Hogar,Taller Central,Accidente en carretera con policia presente. Croquis firmado por ambas partes.,ASG-00113,D764K397,1,Mazda,BT-50,2014,0,0,False,2,1.0000000000000002,32,AMARILLO,"Siniestro ocurrido en los primeros 30 dias de la poliza (+4 pts) | Asegurado con 3 o mas siniestros en 18 meses (+8 pts) | Documentos incompletos o faltantes (+4 pts) | Robo reportado con mas de 48 horas de demora (+8 pts) | Narrativa muy similar a otro reclamo (100% similitud, +8 pts)",0.05154392747942399,0
SIN-00103,16432.81,28,7,3,True,P002,23036.23,Choque,Quito,Generales,Clinica San Marcos,El vehiculo fue impactado por un tercero que se dio a la fuga sin dejar datos.,ASG-00230,C220P773,1,Nissan,Versa,2017,0,0,False,86,0.9999999999999992,43,ROJO,"Siniestro ocurrido en los primeros 30 dias de la poliza (+4 pts) | Reporte con demora de 4 a 7 dias (+3 pts) | Asegurado con 3 o mas siniestros en 18 meses (+8 pts) | Proveedor en lista restrictiva (+10 pts) | Beneficiario asociado a mas de 2 siniestros en la cartera (+5 pts) | Dinamica sospechosa: narrativa con indicadores de riesgo (+5 pts) | Narrativa muy similar a otro reclamo (100% similitud, +8 pts)",0.023217171976090634,0
SIN-00105,6677.71,16,7,2,False,P002,10298.06,Choque,Cuenca,Generales,Clinica San Marcos,Choque en parqueadero de centro comercial con camaras de seguridad.,ASG-00054,G735C297,1,Hyundai,Elantra,2012,0,0,False,86,1.0,38,AMARILLO,"Siniestro ocurrido en los primeros 30 dias de la poliza (+4 pts) | Reporte con demora de 4 a 7 dias (+3 pts) | Asegurado con 2 siniestros recientes (+4 pts) | Documentos incompletos o faltantes (+4 pts) | Proveedor en lista restrictiva (+10 pts) | Beneficiario asociado a mas de 2 siniestros en la cartera (+5 pts) | Narrativa muy similar a otro reclamo (100% similitud, +8 pts)",0.010156211503717816,0
SIN-00108,39135.55,5,11,3,False,P001,40188.85,Robo,Loja,Vida,Taller El Veloz,El vehiculo fue impactado por un tercero que se dio a la fuga sin dejar datos.,ASG-00150,A758G425,1,Toyota,Yaris,2017,0,0,False,80,0.9999999999999992,66,ROJO,"Siniestro ocurrido en los primeros 10 dias de la poliza (+8 pts) | Reporte tardio: mas de 7 dias despues del evento (+5 pts) | Asegurado con 3 o mas siniestros en 18 meses (+8 pts) | Documentos incompletos o faltantes (+4 pts) | Proveedor en lista restrictiva (+10 pts) | Beneficiario asociado a mas de 2 siniestros en la cartera (+5 pts) | Monto reclamado es el 97% de la suma asegurada (+5 pts) | Robo reportado con mas de 48 horas de demora (+8 pts) | Dinamica sospechosa: narrativa con indicadores de riesgo (+5 pts) | Narrativa muy similar a otro reclamo (100% similitud, +8 pts)",0.0772690559594626,0
SIN-00117,36056.05,8,8,6,False,P007,39635.66,Robo,Ambato,Generales,Grua Rapida,Impacto en la parte trasera por vehiculo que huyo del lugar del accidente.,ASG-00177,M204N546,1,Kia,Picanto,2023,0,0,True,92,1.000000000000001,69,ROJO,"Siniestro ocurrido en los primeros 10 dias de la poliza (+8 pts) | Reporte tardio: mas de 7 dias despues del evento (+5 pts) | Asegurado con 3 o mas siniestros en 18 meses (+8 pts) | Documentos incompletos o faltantes (+4 pts) | Proveedor en lista restrictiva (+10 pts) | Beneficiario asociado a mas de 2 siniestros en la cartera (+5 pts) | Robo reportado con mas de 48 horas de demora (+8 pts) | Dinamica sospechosa: narrativa con indicadores de riesgo (+5 pts) | Documentacion con inconsistencia detectada (+8 pts) | Narrativa muy similar a otro reclamo (100% similitud, +8 pts)",0.014882450111967205,0
SIN-00119,36517.63,10,8,6,False,P007,40143.2,Robo,Cuenca,Vehiculos,Grua Rapida,El vehiculo fue impactado por un tercero que se dio a la fuga sin dejar datos.,ASG-00063,H844F492,1,Hyundai,Tucson,2020,0,1,True,92,0.9999999999999992,69,ROJO,"Siniestro ocurrido en los primeros 10 dias de la poliza (+8 pts) | Reporte tardio: mas de 7 dias despues del evento (+5 pts) | Asegurado con 3 o mas siniestros en 18 meses (+8 pts) | Documentos incompletos o faltantes (+4 pts) | Proveedor en lista restrictiva (+10 pts) | Beneficiario asociado a mas de 2 siniestros en la cartera (+5 pts) | Robo reportado con mas de 48 horas de demora (+8 pts) | Dinamica sospechosa: narrativa con indicadores de riesgo (+5 pts) | Documentacion con inconsistencia detectada (+8 pts) | Narrativa muy similar a otro reclamo (100% similitud, +8 pts)",-0.013188456536070814,1
SIN-00122,7500.79,5,15,6,False,P002,8181.44,Robo,Loja,Vehiculos,Clinica San Marcos,El vehiculo fue impactado por un tercero que se dio a la fuga sin dejar datos.,ASG-00238,A354P926,1,Nissan,Sentra,2016,0,1,True,86,0.9999999999999992,69,ROJO,"Siniestro ocurrido en los primeros 10 dias de la poliza (+8 pts) | Reporte tardio: mas de 7 dias despues del evento (+5 pts) | Asegurado con 3 o mas siniestros en 18 meses (+8 pts) | Documentos incompletos o faltantes (+4 pts) | Proveedor en lista restrictiva (+10 pts) | Beneficiario asociado a mas de 2 siniestros en la cartera (+5 pts) | Robo reportado con mas de 48 horas de demora (+8 pts) | Dinamica sospechosa: narrativa con indicadores de riesgo (+5 pts) | Documentacion con inconsistencia detectada (+8 pts) | Narrativa muy similar a otro reclamo (100% similitud, +8 pts)",0.014896437335241486,0
SIN-00132,11617.89,10,15,4,False,P007,12527.75,Robo,Ambato,Vida,Grua Rapida,El vehiculo fue impactado por un tercero que se dio a la fuga sin dejar datos.,ASG-00122,P845L100,1,Kia,Picanto,2013,0,0,True,92,0.9999999999999992,69,ROJO,"Siniestro ocurrido en los primeros 10 dias de la poliza (+8 pts) | Reporte tardio: mas de 7 dias despues del evento (+5 pts) | Asegurado con 3 o mas siniestros en 18 meses (+8 pts) | Documentos incompletos o faltantes (+4 pts) | Proveedor en lista restrictiva (+10 pts) | Beneficiario asociado a mas de 2 siniestros en la cartera (+5 pts) | Robo reportado con mas de 48 horas de demora (+8 pts) | Dinamica sospechosa: narrativa con indicadores de riesgo (+5 pts) | Documentacion con inconsistencia detectada (+8 pts) | Narrativa muy similar a otro reclamo (100% similitud, +8 pts)",0.004358139352997448,0
SIN-00138,14147.64,2,13,4,False,P002,14277.21,Robo,Quito,Vida,Clinica San Marcos,Colision frontal con vehiculo desconocido en horas de la madrugada sin testigos.,ASG-00356,E944J282,1,Toyota,Yaris,2013,0,0,True,86,0.9999999999999993,74,ROJO,"Siniestro ocurrido en los primeros 10 dias de la poliza (+8 pts) | Reporte tardio: mas de 7 dias despues del evento (+5 pts) | Asegurado con 3 o mas siniestros en 18 meses (+8 pts) | Documentos incompletos o faltantes (+4 pts) | Proveedor en lista restrictiva (+10 pts) | Beneficiario asociado a mas de 2 siniestros en la cartera (+5 pts) | Monto reclamado es el 99% de la suma asegurada (+5 pts) | Robo reportado con mas de 48 horas de demora (+8 pts) | Dinamica sospechosa: narrativa con indicadores de riesgo (+5 pts) | Documentacion con inconsistencia detectada (+8 pts) | Narrativa muy similar a otro reclamo (100% similitud, +8 pts)",0.036904142373393456,0
SIN-00142,15242.6,1,14,4,False,P007,15709.82,Robo,Ambato,Hogar,Grua Rapida,El asegurado reporta que su vehiculo fue robado en un estacionamiento sin camaras.,ASG-00073,C744P878,1,Mazda,CX-5,2020,0,0,False,92,1.0,61,ROJO,"Siniestro ocurrido en los primeros 10 dias de la poliza (+8 pts) | Reporte tardio: mas de 7 dias despues del evento (+5 pts) | Asegurado con 3 o mas siniestros en 18 meses (+8 pts) | Documentos incompletos o faltantes (+4 pts) | Proveedor en lista restrictiva (+10 pts) | Beneficiario asociado a mas de 2 siniestros en la cartera (+5 pts) | Monto reclamado es el 97% de la suma asegurada (+5 pts) | Robo reportado con mas de 48 horas de demora (+8 pts) | Narrativa muy similar a otro reclamo (100% similitud, +8 pts)",0.02347855902773055,0
SIN-00143,46232.9,9,13,6,False,P002,46453.63,Robo,Guayaquil,Hogar,Clinica San Marcos,Impacto en la parte trasera por vehiculo que huyo del lugar del accidente.,ASG-00320,K686H876,1,Nissan,Sentra,2020,0,0,True,86,1.000000000000001,74,ROJO,"Siniestro ocurrido en los primeros 10 dias de la poliza (+8 pts) | Reporte tardio: mas de 7 dias despues del evento (+5 pts) | Asegurado con 3 o mas siniestros en 18 meses (+8 pts) | Documentos incompletos o faltantes (+4 pts) | Proveedor en lista restrictiva (+10 pts) | Beneficiario asociado a mas de 2 siniestros en la cartera (+5 pts) | Monto reclamado es el 100% de la suma asegurada (+5 pts) | Robo reportado con mas de 48 horas de demora (+8 pts) | Dinamica sospechosa: narrativa con indicadores de riesgo (+5 pts) | Documentacion con inconsistencia detectada (+8 pts) | Narrativa muy similar a otro reclamo (100% similitud, +8 pts)",-0.03059882216701071,1
