id_siniestro,id_poliza,id_asegurado,ramo,cobertura,fecha_ocurrencia,fecha_reporte,monto_reclamado,monto_estimado,monto_pagado,estado,sucursal,descripcion,documentos_completos,beneficiario,id_proveedor,dias_desde_inicio_poliza,dias_desde_fin_poliza,dias_entre_ocurrencia_reporte,historial_siniestros_asegurado,ciudad,suma_asegurada,etiqueta_fraude_simulada
SIN-00020,POL-00099,ASG-00055,Salud,Dano parcial,2026-02-07,2026-02-10,7781.34,7770.66,6582.33,Pago Parcial,Oeste,Dano por granizo en estacionamiento del trabajo. Evidencia fotografica adjunta.,True,Clinica San Marcos,P002,324,41,3,1,Guayaquil,19131.5,0
SIN-00021,POL-00386,ASG-00111,Generales,Choque,2025-02-25,2025-02-26,11308.64,10714.3,7932.29,Cierre Sin Consecuencia,Este,Robo de autopartes reportado inmediatamente a la policia. Denuncia adjunta.,True,Taller Premium,P008,217,148,1,0,Loja,37632.74,0
SIN-00022,POL-00270,ASG-00185,Salud,Incendio,2026-04-29,2026-05-01,7866.77,6438.38,5647.35,Pago Total,Centro,Robo de autopartes reportado inmediatamente a la policia. Denuncia adjunta.,True,Taller Premium,P008,127,238,2,1,Loja,19920.33,0
SIN-00023,POL-00366,ASG-00200,Hogar,Responsabilidad Civil,2025-12-17,2025-12-20,8108.35,8600.38,6315.61,Pago Total,Norte,Colision frontal con vehiculo desconocido en horas de la madrugada sin testigos.,False,Grua Rapida,P007,18,347,3,2,Quito,12137.51,0
SIN-00024,POL-00021,ASG-00394,Salud,Atencion medica,2025-07-29,2025-08-01,6432.3,6705.66,4895.25,Cierre Sin Consecuencia,Sur,Robo de autopartes reportado inmediatamente a la policia. Denuncia adjunta.,True,Taller Premium,P008,78,287,3,0,Cuenca,20975.4,0
SIN-00025,POL-00078,ASG-00126,Vehiculos,Choque,2025-10-24,2025-10-30,7323.1,7158.77,5598.23,Liquidado,Oeste,Colision frontal con vehiculo desconocido en horas de la madrugada sin testigos.,True,Peritajes Express,P004,20,345,6,2,Cuenca,10219.4,0
SIN-00026,POL-00321,ASG-00284,Salud,Atencion medica,2025-07-21,2025-07-24,7364.27,7837.56,6962.52,Liquidado,Sur,Choque en parqueadero de centro comercial con camaras de seguridad.,True,Peritajes Express,P004,124,241,3,0,Guayaquil,20909.21,0
SIN-00027,POL-00247,ASG-00185,Hogar,Atencion medica,2026-01-12,2026-01-15,9119.45,9609.99,7496.57,Pago Parcial,Sur,Colision leve en interseccion con semaforo. El tercero presento sus datos.,True,Taller Norte,P003,241,124,3,0,Loja,38869.51,0
SIN-00028,POL-00252,ASG-00396,Generales,Dano parcial,2025-11-29,2025-12-02,7967.84,6755.19,5005.12,Pago Parcial,Centro,Colision leve en interseccion con semaforo. El tercero presento sus datos.,True,Taller Central,P005,44,321,3,0,Cuenca,33211.99,0
SIN-00029,POL-00306,ASG-00200,Vehiculos,Incendio,2025-06-26,2025-06-28,14810.98,16039.53,14712.59,Pago Total,Sur,Colision leve en interseccion con semaforo. El tercero presento sus datos.,True,Clinica San Marcos,P002,259,106,2,1,Quito,42046.5,0
SIN-00030,POL-00595,ASG-00355,Vehiculos,Choque,2026-07-07,2026-07-08,14325.7,15037.69,13852.28,Cierre Sin Consecuencia,Sur,Robo de autopartes reportado inmediatamente a la policia. Denuncia adjunta.,True,Taller Central,P005,236,129,1,1,Guayaquil,44779.05,0
SIN-00031,POL-00058,ASG-00068,Hogar,Responsabilidad Civil,2026-12-16,2026-12-16,9038.5,9082.08,8982.13,Pago Total,Centro,Accidente en carretera con policia presente. Croquis firmado por ambas partes.,True,Taller Premium,P008,203,162,0,1,Loja,46972.65,0
SIN-00032,POL-00394,ASG-00162,Vehiculos,Responsabilidad Civil,2025-03-28,2025-03-30,21657.46,22898.31,18697.42,Negativa,Centro,Colision leve en interseccion con semaforo. El tercero presento sus datos.,True,Taller Central,P005,247,118,2,0,Manta,47450.66,0
SIN-00033,POL-00417,ASG-00364,Vehiculos,Choque,2025-09-28,2025-10-03,21815.49,22847.8,20781.09,Liquidado,Norte,Robo de autopartes reportado inmediatamente a la policia. Denuncia adjunta.,False,Taller El Veloz,P001,26,339,5,2,Quito,26809.8,0
SIN-00034,POL-00455,ASG-00339,Generales,Robo,2024-11-21,2024-12-04,29012.76,27704.57,0.0,Cierre Sin Consecuencia,Sur,Colision frontal con vehiculo desconocido en horas de la madrugada sin testigos.,False,Taller El Veloz,P001,5,360,13,4,Cuenca,30297.97,1
SIN-00035,POL-00230,ASG-00281,Hogar,Dano parcial,2024-10-05,2024-10-06,21574.68,18954.11,18111.59,Reserva,Este,Accidente en carretera con policia presente. Croquis firmado por ambas partes.,True,Taller El Veloz,P001,51,314,1,0,Guayaquil,47098.04,0
SIN-00036,POL-00539,ASG-00074,Generales,Incendio,2025-04-03,2025-04-06,1532.12,1660.54,1567.59,Pago Parcial,Centro,Dano por granizo en estacionamiento del trabajo. Evidencia fotografica adjunta.,True,Grua Rapida,P007,128,237,3,0,Manta,14827.39,0
SIN-00037,POL-00185,ASG-00392,Salud,Choque,2025-08-12,2025-08-14,19257.48,20647.84,16743.15,Cierre Sin Consecuencia,Este,Dano por granizo en estacionamiento del trabajo. Evidencia fotografica adjunta.,True,Grua Rapida,P007,136,229,2,1,Guayaquil,39360.61,0
SIN-00038,POL-00408,ASG-00177,Generales,Responsabilidad Civil,2025-09-17,2025-09-20,15110.97,12520.71,8985.18,Pago Parcial,Sur,Robo de autopartes reportado inmediatamente a la policia. Denuncia adjunta.,True,Peritajes Express,P004,97,268,3,0,Ambato,39635.66,0
SIN-00039,POL-00573,ASG-00224,Salud,Atencion medica,2027-02-14,2027-02-15,8971.41,7532.18,5989.55,Liquidado,Este,Robo de autopartes reportado inmediatamente a la policia. Denuncia adjunta.,True,Taller El Veloz,P001,339,26,1,1,Quito,32424.51,0
SIN-00040,POL-00288,ASG-00263,Vehiculos,Atencion medica,2025-10-12,2025-10-14,3782.41,3520.41,2638.53,Cierre Sin Consecuencia,Este,Robo de autopartes reportado inmediatamente a la policia. Denuncia adjunta.,True,Clinica del Sur,P006,222,143,2,1,Cuenca,11608.93,0
SIN-00041,POL-00236,ASG-00017,Hogar,Robo,2026-04-28,2026-05-13,9069.92,8226.02,0.0,Cierre Sin Consecuencia,Oeste,El vehiculo fue impactado por un tercero que se dio a la fuga sin dejar datos.,False,Clinica San Marcos,P002,3,362,15,6,Loja,9611.6,1
SIN-00042,POL-00600,ASG-00304,Generales,Choque,2027-03-08,2027-03-09,5943.39,6124.52,5530.89,Pago Parcial,Norte,Colision leve en interseccion con semaforo. El tercero presento sus datos.,True,Peritajes Express,P004,293,72,1,0,Quito,25036.53,0
SIN-00043,POL-00472,ASG-00162,Vehiculos,Atencion medica,2026-06-04,2026-06-04,1765.52,1584.51,1456.9,Cierre Sin Consecuencia,Oeste,Colision leve en interseccion con semaforo. El tercero presento sus datos.,True,Taller Premium,P008,355,10,0,1,Manta,8905.9,0
SIN-00044,POL-00073,ASG-00395,Vehiculos,Robo,2024-05-30,2024-06-10,8010.87,8457.11,0.0,Pago Total,Este,El vehiculo fue impactado por un tercero que se dio a la fuga sin dejar datos.,False,Clinica San Marcos,P002,3,362,11,3,Ambato,8038.97,1
SIN-00045,POL-00525,ASG-00362,Vida,Incendio,2027-01-31,2027-02-03,1969.8,1629.16,1346.93,Pago Parcial,Oeste,Choque en parqueadero de centro comercial con camaras de seguridad.,True,Peritajes Express,P004,325,40,3,1,Quito,11531.74,0
SIN-00046,POL-00475,ASG-00175,Vida,Responsabilidad Civil,2024-12-20,2024-12-21,13390.47,11880.17,9874.88,Negativa,Centro,Choque en parqueadero de centro comercial con camaras de seguridad.,True,Peritajes Express,P004,114,251,1,0,Loja,28563.26,0
SIN-00047,POL-00583,ASG-00184,Hogar,Choque,2026-12-29,2026-12-29,13976.46,13129.44,12027.79,Pago Parcial,Centro,Accidente en carretera con policia presente. Croquis firmado por ambas partes.,True,Taller El Veloz,P001,317,48,0,0,Guayaquil,49952.82,0
SIN-00048,POL-00184,ASG-00325,Vehiculos,Choque,2026-08-01,2026-08-01,4107.59,4009.68,3354.1,Cierre Sin Consecuencia,Este,Robo de autopartes reportado inmediatamente a la policia. Denuncia adjunta.,True,Taller Norte,P003,224,141,0,1,Cuenca,17308.75,0
SIN-00049,POL-00109,ASG-00144,Vida,Choque,2025-03-31,2025-04-03,672.35,630.7,518.14,Cierre Sin Consecuencia,Oeste,Dano por granizo en estacionamiento del trabajo. Evidencia fotografica adjunta.,True,Grua Rapida,P007,166,199,3,1,Manta,6559.22,0
SIN-00050,POL-00115,ASG-00127,Salud,Robo,2025-07-21,2025-07-21,6015.92,5599.24,4971.1,Liquidado,Sur,Dano por granizo en estacionamiento del trabajo. Evidencia fotografica adjunta.,True,Taller El Veloz,P001,296,69,0,0,Manta,41732.83,0
SIN-00051,POL-00433,ASG-00199,Vida,Robo,2026-01-17,2026-02-01,11716.6,10409.61,0.0,Negativa,Norte,Colision frontal con vehiculo desconocido en horas de la madrugada sin testigos.,False,Clinica San Marcos,P002,8,357,15,4,Guayaquil,12370.39,1
SIN-00052,POL-00498,ASG-00339,Salud,Choque,2024-07-25,2024-07-27,13087.85,11521.95,10306.27,Negativa,Norte,Choque en parqueadero de centro comercial con camaras de seguridad.,False,Taller Premium,P008,27,338,2,2,Cuenca,18117.65,0
SIN-00053,POL-00353,ASG-00147,Vida,Robo,2025-04-28,2025-05-05,25105.6,25529.85,20860.73,Negativa,Centro,El asegurado reporta que su vehiculo fue robado en un estacionamiento sin camaras.,False,Taller Premium,P008,29,336,7,3,Loja,35949.65,0
SIN-00054,POL-00504,ASG-00097,Generales,Incendio,2025-05-15,2025-05-17,7252.32,7975.94,6441.66,Pago Parcial,Centro,Choque en parqueadero de centro comercial con camaras de seguridad.,True,Clinica San Marcos,P002,11,354,2,0,Quito,46601.69,0
SIN-00055,POL-00233,ASG-00383,Generales,Incendio,2026-08-21,2026-08-23,21441.28,22106.57,19168.76,Pago Total,Oeste,Robo de autopartes reportado inmediatamente a la policia. Denuncia adjunta.,True,Clinica San Marcos,P002,116,249,2,0,Quito,43128.55,0
SIN-00056,POL-00109,ASG-00144,Vida,Choque,2024-11-12,2024-11-12,821.02,881.2,658.35,Pago Parcial,Este,Colision leve en interseccion con semaforo. El tercero presento sus datos.,True,Clinica San Marcos,P002,27,338,0,0,Manta,6559.22,0
SIN-00057,POL-00007,ASG-00007,Hogar,Incendio,2025-05-23,2025-05-25,7172.86,6310.72,5771.53,Negativa,Centro,Dano por granizo en estacionamiento del trabajo. Evidencia fotografica adjunta.,True,Peritajes Express,P004,107,258,2,0,Guayaquil,40062.61,0
SIN-00058,POL-00420,ASG-00181,Hogar,Dano parcial,2026-10-26,2026-10-28,7418.92,7649.24,7001.26,Liquidado,Norte,Accidente en carretera con policia presente. Croquis firmado por ambas partes.,True,Taller Premium,P008,167,198,2,0,Manta,15629.21,0
SIN-00059,POL-00445,ASG-00376,Vehiculos,Choque,2025-05-02,2025-05-08,22684.73,24175.91,22005.81,Pago Parcial,Centro,Robo de autopartes reportado inmediatamente a la policia. Denuncia adjunta.,False,Taller El Veloz,P001,15,350,6,3,Quito,36780.2,0
SIN-00060,POL-00211,ASG-00033,Hogar,Responsabilidad Civil,2026-12-06,2026-12-09,2216.54,1797.82,1438.88,Cierre Sin Consecuencia,Sur,Robo de autopartes reportado inmediatamente a la policia. Denuncia adjunta.,True,Taller Premium,P008,277,88,3,0,Ambato,5556.21,0
SIN-00061,POL-00024,ASG-00192,Vida,Dano parcial,2025-05-19,2025-05-21,5643.09,6185.31,4534.65,Reserva,Centro,Robo de autopartes reportado inmediatamente a la policia. Denuncia adjunta.,True,Taller El Veloz,P001,35,330,2,1,Loja,35580.0,0
SIN-00062,POL-00587,ASG-00017,Hogar,Robo,2025-04-20,2025-04-21,3559.26,3610.18,3089.95,Pago Total,Norte,Robo de autopartes reportado inmediatamente a la policia. Denuncia adjunta.,True,Taller El Veloz,P001,89,276,1,0,Loja,17140.52,0
SIN-00063,POL-00422,ASG-00144,Salud,Robo,2025-05-18,2025-06-02,41810.14,40826.42,0.0,Liquidado,Este,El asegurado reporta que su vehiculo fue robado en un estacionamiento sin camaras.,False,Taller El Veloz,P001,3,362,15,6,Manta,45372.89,1
SIN-00064,POL-00518,ASG-00130,Salud,Incendio,2024-10-28,2024-10-29,8442.29,8512.71,7121.99,Reserva,Sur,Choque en parqueadero de centro comercial con camaras de seguridad.,True,Taller Norte,P003,91,274,1,0,Loja,17384.77,0
SIN-00065,POL-00536,ASG-00355,Hogar,Robo,2025-04-11,2025-04-23,37299.45,38610.07,0.0,Negativa,Norte,Colision frontal con vehiculo desconocido en horas de la madrugada sin testigos.,False,Taller El Veloz,P001,6,359,12,4,Guayaquil,40132.91,1
SIN-00066,POL-00346,ASG-00395,Vida,Responsabilidad Civil,2026-04-25,2026-04-26,19573.43,20131.34,18121.55,Pago Total,Centro,Choque en parqueadero de centro comercial con camaras de seguridad.,True,Grua Rapida,P007,310,55,1,1,Ambato,49820.62,0
SIN-00067,POL-00405,ASG-00067,Salud,Responsabilidad Civil,2025-12-23,2025-12-26,5303.81,5368.32,4679.02,Cierre Sin Consecuencia,Centro,Colision leve en interseccion con semaforo. El tercero presento sus datos.,True,Clinica del Sur,P006,180,185,3,0,Cuenca,13914.88,0
SIN-00068,POL-00555,ASG-00050,Vida,Dano parcial,2026-03-26,2026-03-27,16514.66,13807.66,13543.31,Pago Total,Norte,Choque en parqueadero de centro comercial con camaras de seguridad.,True,Taller El Veloz,P001,139,226,1,0,Loja,42590.85,0
SIN-00069,POL-00412,ASG-00231,Vida,Choque,2026-06-28,2026-06-30,3553.21,3758.92,2989.15,Pago Parcial,Norte,Accidente en carretera con policia presente. Croquis firmado por ambas partes.,True,Taller El Veloz,P001,176,189,2,0,Guayaquil,14405.43,0
SIN-00070,POL-00188,ASG-00003,Salud,Robo,2027-04-14,2027-04-16,21275.03,20941.92,16703.01,Reserva,Norte,Dano por granizo en estacionamiento del trabajo. Evidencia fotografica adjunta.,True,Taller Central,P005,346,19,2,0,Quito,44464.33,0
SIN-00071,POL-00124,ASG-00224,Vida,Dano parcial,2026-05-25,2026-05-28,9539.0,7804.71,6551.64,Negativa,Norte,Colision frontal con vehiculo desconocido en horas de la madrugada sin testigos.,False,Taller El Veloz,P001,29,336,3,3,Quito,12839.12,0
SIN-00072,POL-00253,ASG-00218,Vehiculos,Incendio,2025-09-30,2025-10-02,35755.96,34401.95,25817.17,Pago Total,Oeste,El asegurado reporta que su vehiculo fue robado en un estacionamiento sin camaras.,True,Taller Norte,P003,25,340,2,3,Loja,42293.69,0
SIN-00073,POL-00062,ASG-00176,Vehiculos,Atencion medica,2025-02-20,2025-02-24,20266.86,16490.04,15199.77,Liquidado,Norte,Choque en parqueadero de centro comercial con camaras de seguridad.,True,Taller Premium,P008,23,342,4,3,Loja,24004.13,0
SIN-00074,POL-00443,ASG-00212,Hogar,Atencion medica,2025-12-01,2025-12-03,4382.38,3829.23,3809.73,Pago Parcial,Sur,Accidente en carretera con policia presente. Croquis firmado por ambas partes.,True,Peritajes Express,P004,255,110,2,1,Manta,13049.54,0
SIN-00075,POL-00178,ASG-00066,Hogar,Responsabilidad Civil,2025-07-30,2025-08-02,11854.77,12283.81,10990.68,Reserva,Oeste,Choque en parqueadero de centro comercial con camaras de seguridad.,True,Grua Rapida,P007,22,343,3,0,Cuenca,30156.42,0
SIN-00076,POL-00367,ASG-00247,Hogar,Responsabilidad Civil,2025-11-08,2025-11-10,32992.9,28586.9,20180.48,Pago Parcial,Centro,Accidente en carretera con policia presente. Croquis firmado por ambas partes.,True,Grua Rapida,P007,11,354,2,2,Manta,44938.38,0
SIN-00077,POL-00372,ASG-00250,Salud,Responsabilidad Civil,2024-07-30,2024-08-02,18137.8,17606.92,14934.25,Liquidado,Sur,Colision frontal con vehiculo desconocido en horas de la madrugada sin testigos.,False,Taller El Veloz,P001,30,335,3,3,Manta,30125.77,0
SIN-00078,POL-00584,ASG-00361,Vida,Responsabilidad Civil,2025-10-10,2025-10-12,5266.27,5288.41,5102.95,Reserva,Este,Colision leve en interseccion con semaforo. El tercero presento sus datos.,True,Peritajes Express,P004,151,214,2,1,Guayaquil,38627.9,0
SIN-00079,POL-00125,ASG-00341,Generales,Dano parcial,2024-08-18,2024-08-18,9861.86,8711.77,7196.08,Negativa,Centro,Dano por granizo en estacionamiento del trabajo. Evidencia fotografica adjunta.,True,Taller Premium,P008,79,286,0,0,Quito,22027.28,0
SIN-00080,POL-00586,ASG-00238,Vehiculos,Robo,2026-10-16,2026-10-19,3935.26,3342.39,2651.32,Cierre Sin Consecuencia,Norte,Dano por granizo en estacionamiento del trabajo. Evidencia fotografica adjunta.,True,Taller El Veloz,P001,210,155,3,0,Loja,8181.44,0
SIN-00081,POL-00343,ASG-00228,Hogar,Incendio,2025-11-28,2025-12-02,23932.05,25919.95,24176.18,Liquidado,Este,Choque en parqueadero de centro comercial con camaras de seguridad.,False,Taller Central,P005,18,347,4,2,Guayaquil,28442.11,0
SIN-00082,POL-00035,ASG-00303,Vehiculos,Responsabilidad Civil,2026-03-23,2026-03-26,11799.33,11601.36,9623.93,Reserva,Norte,El vehiculo fue impactado por un tercero que se dio a la fuga sin dejar datos.,False,Grua Rapida,P007,13,352,3,3,Cuenca,19093.36,0
SIN-00083,POL-00421,ASG-00321,Hogar,Responsabilidad Civil,2024-12-27,2024-12-27,11448.87,12181.39,10789.9,Pago Parcial,Norte,Accidente en carretera con policia presente. Croquis firmado por ambas partes.,True,Peritajes Express,P004,81,284,0,1,Ambato,45068.09,0
SIN-00084,POL-00199,ASG-00361,Vida,Atencion medica,2026-08-04,2026-08-06,1621.88,1387.97,1028.9,Reserva,Norte,Choque en parqueadero de centro comercial con camaras de seguridad.,True,Taller Norte,P003,198,167,2,1,Guayaquil,6773.26,0
SIN-00085,POL-00598,ASG-00178,Vida,Robo,2025-01-28,2025-02-10,31599.65,27530.13,0.0,Liquidado,Norte,Colision frontal con vehiculo desconocido en horas de la madrugada sin testigos.,False,Taller El Veloz,P001,10,355,13,3,Loja,34010.8,1
SIN-00086,POL-00307,ASG-00033,Hogar,Choque,2025-09-10,2025-09-12,6398.18,6014.04,4594.38,Negativa,Centro,Impacto en la parte trasera por vehiculo que huyo del lugar del accidente.,True,Grua Rapida,P007,25,340,2,2,Ambato,8601.79,0
SIN-00087,POL-00118,ASG-00359,Hogar,Robo,2026-01-24,2026-01-28,18603.96,16468.79,12609.88,Pago Parcial,Sur,Impacto en la parte trasera por vehiculo que huyo del lugar del accidente.,True,Taller Norte,P003,29,336,4,2,Manta,30362.29,0
SIN-00088,POL-00022,ASG-00331,Vida,Choque,2026-06-02,2026-06-05,13715.62,13691.93,13450.25,Liquidado,Este,Dano por granizo en estacionamiento del trabajo. Evidencia fotografica adjunta.,True,Taller Norte,P003,21,344,3,3,Guayaquil,19921.85,0
SIN-00089,POL-00197,ASG-00054,Generales,Atencion medica,2025-03-26,2025-03-29,5042.36,5188.21,4545.9,Liquidado,Centro,Dano por granizo en estacionamiento del trabajo. Evidencia fotografica adjunta.,True,Grua Rapida,P007,201,164,3,0,Cuenca,10298.06,0
SIN-00090,POL-00521,ASG-00075,Generales,Choque,2024-08-05,2024-08-12,9290.58,9526.49,8512.12,Liquidado,Centro,Choque en parqueadero de centro comercial con camaras de seguridad.,True,Taller Premium,P008,26,339,7,3,Ambato,11936.76,0
SIN-00091,POL-00486,ASG-00291,Salud,Responsabilidad Civil,2025-02-17,2025-02-17,5887.98,6235.08,5105.1,Pago Parcial,Este,Dano por granizo en estacionamiento del trabajo. Evidencia fotografica adjunta.,True,Taller Central,P005,35,330,0,1,Loja,41105.77,0
SIN-00092,POL-00361,ASG-00253,Salud,Incendio,2026-08-06,2026-08-08,4598.24,4242.73,3993.9,Pago Parcial,Centro,Accidente en carretera con policia presente. Croquis firmado por ambas partes.,True,Peritajes Express,P004,280,85,2,1,Quito,19020.95,0
SIN-00093,POL-00514,ASG-00399,Vehiculos,Robo,2026-02-11,2026-02-11,2901.43,2796.42,2237.49,Cierre Sin Consecuencia,Centro,Robo de autopartes reportado inmediatamente a la policia. Denuncia adjunta.,True,Clinica San Marcos,P002,264,101,0,0,Guayaquil,28069.84,0
SIN-00094,POL-00009,ASG-00075,Vehiculos,Atencion medica,2024-08-03,2024-08-08,14602.44,15473.33,11887.75,Cierre Sin Consecuencia,Sur,Accidente en carretera con policia presente. Croquis firmado por ambas partes.,True,Taller Central,P005,23,342,5,2,Ambato,17418.28,0
SIN-00095,POL-00428,ASG-00163,Salud,Dano parcial,2025-02-21,2025-02-21,8623.18,7689.04,7084.23,Negativa,Centro,Choque en parqueadero de centro comercial con camaras de seguridad.,True,Peritajes Express,P004,219,146,0,0,Cuenca,39444.58,0
SIN-00096,POL-00024,ASG-00192,Vida,Robo,2026-02-25,2026-02-27,10876.3,11899.23,9058.42,Negativa,Norte,Choque en parqueadero de centro comercial con camaras de seguridad.,True,Taller El Veloz,P001,317,48,2,1,Loja,35580.0,0
SIN-00097,POL-00567,ASG-00091,Salud,Robo,2024-07-16,2024-07-31,6264.81,5545.27,0.0,Pago Total,Centro,El vehiculo fue impactado por un tercero que se dio a la fuga sin dejar datos.,False,Taller El Veloz,P001,10,355,15,6,Quito,6940.2,1
SIN-00098,POL-00401,ASG-00269,Vehiculos,Robo,2025-08-04,2025-08-07,8068.07,8766.19,8413.0,Pago Total,Sur,Colision leve en interseccion con semaforo. El tercero presento sus datos.,True,Taller Norte,P003,99,266,3,1,Manta,30421.08,0
SIN-00099,POL-00470,ASG-00034,Salud,Robo,2025-06-18,2025-06-20,5372.77,5765.47,5556.6,Negativa,Este,Choque en parqueadero de centro comercial con camaras de seguridad.,True,Taller Central,P005,25,340,2,3,Guayaquil,6402.79,0
SIN-00100,POL-00356,ASG-00113,Hogar,Robo,2025-03-08,2025-03-11,21609.55,23192.45,17511.07,Liquidado,Norte,Accidente en carretera con policia presente. Croquis firmado por ambas partes.,False,Taller Central,P005,24,341,3,3,Guayaquil,33139.54,0
SIN-00101,POL-00223,ASG-00072,Vida,Dano parcial,2025-08-27,2025-08-27,16175.69,15388.23,14370.35,Negativa,Este,Colision leve en interseccion con semaforo. El tercero presento sus datos.,True,Taller Premium,P008,118,247,0,0,Ambato,32488.33,0
